Student_ID,Name,Age,Gender,Program,Study_Hours,Attendance,Previous_Score,Sleep_Hours,Internet_Access,Python,Mathematics,Statistics,Machine_Learning
S001,Ahmed Farooq,25,Female,DS,5.9,89.0,65.1,7.2,1,84,80,82,80
S002,Hira Iqbal,24,Female,CS,3.6,85.6,53.0,7.4,0,57,60,59,58
S003,Hamza Butt,20,Female,SE,4.5,72.0,75.3,7.5,0,82,76,75,76
S004,Ahmed Shah,25,Male,AI,0.5,84.5,75.6,5.4,1,78,73,79,73
S005,Usman Ahmed,21,Female,CS,2.3,84.2,51.6,8.0,1,66,61,64,66
S006,Talha Qureshi,22,Female,CS,3.6,100.0,72.8,6.0,1,75,77,73,75
S007,Laiba Farooq,21,Male,AI,2.4,93.9,78.8,7.8,1,78,76,75,77
S008,Laiba Farooq,19,Female,CS,5.1,85.1,74.5,7.0,1,82,75,73,80
S009,Talha Raza,25,Female,AI,7.0,87.5,77.6,5.3,1,85,78,79,78
S010,Zara Iqbal,18,Female,CS,2.2,85.4,53.1,6.6,1,61,55,56,52
S011,Talha Malik,19,Female,SE,2.7,83.0,74.0,7.4,1,77,76,78,81
S012,Usman Chaudhry,19,Male,SE,4.4,74.2,66.4,7.7,1,75,69,77,75
S013,Abdullah Aslam,20,Female,AI,6.4,83.5,64.2,6.8,1,82,73,78,77
S014,Maryam Butt,19,Male,CS,2.2,77.5,80.4,8.8,0,66,68,70,64
S015,Iqra Iqbal,18,Female,AI,4.4,72.5,87.8,8.2,1,82,80,77,82
S016,Hamza Noor,23,Female,AI,6.7,90.1,91.5,6.7,1,94,91,89,88
S017,Ahmed Siddiqui,25,Male,AI,1.5,88.9,85.8,7.9,1,80,79,78,79
S018,Saad Ahmed,18,Male,SE,2.1,67.1,68.7,9.3,1,70,72,73,71
S019,Zara Butt,20,Male,AI,3.4,83.8,74.2,9.4,0,80,78,73,76
S020,Hassan Aslam,22,Male,CS,3.2,95.0,79.2,5.5,1,79,77,77,77
S021,Fatima Farooq,25,Male,SE,5.2,95.6,71.5,5.9,1,84,81,82,82
